Patient & Geremia &  & Souplet &  & Weiss &  &  & Our method &  & \\
 & TPR & PPV & TPR & PPV & TPR & PPV & DSC & TPR & PPV & DSC \\
CHB01 & 49 & 64 & 22 & 41 & 60 & 58 & 59 & 50 & 69 & 58 \\
CHB02 & 44 & 63 & 18 & 29 & 27 & 45 & 34 & 42 & 52 & 46 \\
CHB03 & 22 & 57 & 17 & 21 & 24 & 56 & 34 & 38 & 70 & 49 \\
CHB04 & 31 & 78 & 12 & 55 & 27 & 66 & 38 & 60 & 63 & 61 \\
CHB05 & 40 & 52 & 22 & 42 & 29 & 33 & 31 & 42 & 43 & 42 \\
CHB06 & 32 & 52 & 13 & 46 & 10 & 36 & 16 & 24 & 63 & 35 \\
CHB07 & 40 & 54 & 13 & 39 & 14 & 48 & 22 & 57 & 65 & 61 \\
CHB08 & 46 & 65 & 13 & 55 & 21 & 73 & 32 & 47 & 75 & 58 \\
CHB09 & 23 & 28 & 3 & 18 & 5 & 22 & 8 & 22 & 49 & 30 \\
CHB10 & 23 & 39 & 5 & 18 & 15 & 12 & 13 & 11 & 64 & 19 \\
UNC01 & 2 & 1 & 1 & 1 & 33 & 29 & 31 & 3 & 6 & 4 \\
UNC02 & 48 & 36 & 37 & 39 & 54 & 51 & 53 & 54 & 38 & 44 \\
UNC03 & 24 & 35 & 12 & 16 & 64 & 27 & 38 & 62 & 28 & 39 \\
UNC04 & 54 & 38 & 38 & 54 & 40 & 51 & 45 & 59 & 35 & 44 \\ 
UNC05 & 56 & 19 & 38 & 8 & 25 & 10 & 16 & 10 & 5 & 6 \\
UNC06 & 15 & 8 & 57 & 9 & 13 & 55 & 20 & 24 & 49 & 32 \\
UNC07 & 76 & 16 & 27 & 18 & 44 & 23 & 30 & 33 & 19 & 24 \\
UNC08 & 52 & 32 & 27 & 20 & 43 & 13 & 20 & 51 & 13 & 20 \\
UNC09 & 67 & 36 & 16 & 43 & 69 & 6 & 11 & 51 & 5 & 9 \\
UNC10 & 53 & 34 & 22 & 28 & 43 & 23 & 30 & 56 & 19 & 28 \\
AVG & 39.85 & 40.35 & 20.65 & 30.00 & 33.00 & 36.85 & 29.05 & 39.71 & 41.38 & 35.52 \\
